style_id,upc_num,gender,collection,size,description,wholesale_price,retail_price,color,country_of_origin,warranty,band_color,band_material,case_material,clasp_type,dial_color,movement_type,water_resistant,max_cart_qty
ES4655,796483457386,Ladies,Carlie,34,FOSSIL / LADIES / CARLIE 34MM,59.5,119,Purple,Japan - JP,2 - Year International Limited Warranty,Brown,Leather,Stainless Steel,Buckle,Purple,Quartz,50m - 160ft - 5atm,100.0
ES4658SET,796483450462,Ladies,Carlie,35,FOSSIL / LADIES / CARLIE 35MM,84.5,169,Black,Japan - JP,2 - Year International Limited Warranty,Black,Leather,Stainless Steel,Buckle,Black,Quartz,50m - 160ft - 5atm,100.0
ES4659,796483457423,Ladies,Carlie,38,FOSSIL / LADIES / CARLIE 38MM,79.5,159,Black,Japan - JP,2 - Year International Limited Warranty,Multi,Stainless Steel,Stainless Steel,Clasp,Black,Quartz,50m - 160ft - 5atm,10000.0
ES4660,796483457409,Ladies,Carlie,38,FOSSIL / LADIES / CARLIE 38MM,79.5,159,Purple,Japan - JP,2 - Year International Limited Warranty,Rose Gold,Stainless Steel,Stainless Steel,Fold-Over,Purple,Quartz,50m - 160ft - 5atm,10000.0
ES4662,796483450448,Ladies,Kalya,36,FOSSIL / LADIES / KALYA 36MM,59.5,119,Green,Japan - JP,2 - Year International Limited Warranty,Green,Leather,Stainless Steel,Buckle,Green,Quartz,30m - 100ft - 3atm,10000.0
ES4663,796483450424,Ladies,Kalya,36,FOSSIL / LADIES / KALYA 36MM,59.5,119,Rose Gold,Japan - JP,2 - Year International Limited Warranty,Blue,Leather,Stainless Steel,Buckle,Rose Gold,Quartz,50m - 160ft - 5atm,10000.0
ES4664,796483450431,Ladies,Kalya,36,FOSSIL / LADIES / KALYA 36MM,59.5,119,Gray,Japan - JP,2 - Year International Limited Warranty,Nude,Leather,Stainless Steel,Buckle,Grey,Quartz,30m - 100ft - 3atm,10000.0
ES4665,796483450417,Ladies,Kalya,36,FOSSIL / LADIES / KALYA 36MM,59.5,119,Rose Gold,Japan - JP,2 - Year International Limited Warranty,Purple,Leather,Stainless Steel,Buckle,Rose Gold,Quartz,50m - 160ft - 5atm,10000.0
ES4666,796483450455,Ladies,Kalya,36,FOSSIL / LADIES / KALYA 36MM,69.5,139,Silver,Japan - JP,2 - Year International Limited Warranty,Silver,Stainless Steel,Stainless Steel,Deployment,Silver,Quartz,50m - 160ft - 5atm,10000.0
ES4667,796483450479,Ladies,Kalya,36,FOSSIL / LADIES / KALYA 36MM,69.5,139,Gold,Japan - JP,2 - Year International Limited Warranty,Gold,Stainless Steel,Stainless Steel,Fold-Over,Gold,Quartz,30m - 100ft - 3atm,10000.0
ES4668,796483457393,Ladies,Carlie,34,FOSSIL / LADIES / CARLIE 34MM,59.5,119,Black,Japan - JP,2 - Year International Limited Warranty,Black,Leather,Stainless Steel,Buckle,Black,Quartz,50m - 160ft - 5atm,100.0
ES4671,796483459472,Ladies,Jacqueline,36,FOSSIL / LADIES / JACQUELINE 36MM,70.0,140,Mother Of Pearl,Japan - JP,2 - Year International Limited Warranty,Rose,Leather,Stainless Steel,Buckle,Mother Of Pearl,Quartz,30m - 100ft - 3atm,10000.0
ES4672,796483459489,Ladies,Jacqueline,36,FOSSIL / LADIES / JACQUELINE 36MM,64.5,129,Mother Of Pearl,Japan - JP,2 - Year International Limited Warranty,Grey,Leather,Stainless Steel,Buckle,Mother Of Pearl,Quartz,30m - 100ft - 3atm,10000.0
ES4673,796483459496,Ladies,Jacqueline,36,FOSSIL / LADIES / JACQUELINE 36MM,64.5,129,Blue,Japan - JP,2 - Year International Limited Warranty,Blue,Leather,Stainless Steel,Buckle,Blue,Quartz,30m - 100ft - 3atm,10000.0
ES4675,796483462014,Ladies,Neely,34,FOSSIL / LADIES / NEELY 34MM,69.5,139,Green,Japan - JP,2 - Year International Limited Warranty,Gold,Stainless Steel,Stainless Steel,Fold-Over,Green,Quartz,50m - 160ft - 5atm,10000.0
ES4676,796483468078,Ladies,Scarlette Mini,32,FOSSIL / LADIES / SCARLETTE MINI 32MM,74.5,149,Green,Japan - JP,2 - Year International Limited Warranty,Gold,Stainless Steel,Stainless Steel,Fold-Over,Green,Quartz,30m - 100ft - 3atm,10000.0
ES4681,796483464209,Ladies,Jacqueline,36,FOSSIL / LADIES / JACQUELINE 36MM,59.5,119,Black,Japan - JP,2 - Year International Limited Warranty,Brown,Leather,Stainless Steel,Buckle,Black,Quartz,30m - 100ft - 3atm,10000.0
ES4682,796483464179,Ladies,Kinsey,28,FOSSIL / LADIES / KINSEY 28MM,59.5,119,Black,Japan - JP,2 - Year International Limited Warranty,Brown,Leather,Stainless Steel,Buckle,Black,Quartz,50m - 160ft - 5atm,10000.0
ES4683,796483464186,Ladies,Lyric,32,FOSSIL / LADIES / LYRIC 32MM,64.5,129,Pink,Japan - JP,2 - Year International Limited Warranty,Brown,Leather,Stainless Steel,Buckle,Pink,Quartz,50m - 160ft - 5atm,10000.0
ES4684,796483464193,Ladies,Lyric,28,FOSSIL / LADIES / LYRIC 28MM,64.5,129,Gold,Japan - JP,2 - Year International Limited Warranty,Brown,Leather,Stainless Steel,Buckle,Gold,Quartz,50m - 160ft - 5atm,10000.0
ES4688,796483471597,Ladies,Carlie Mini,28,FOSSIL / LADIES / CARLIE MINI 28MM,74.5,149,White,Japan - JP,2 - Year International Limited Warranty,Rose Gold,Stainless Steel,Stainless Steel,Fold-Over,White,Quartz,30m - 100ft - 3atm,10000.0
ES4689,796483471603,Ladies,Carlie Mini,28,FOSSIL / LADIES / CARLIE MINI 28MM,64.5,129,White,Japan - JP,2 - Year International Limited Warranty,Silver,Stainless Steel,Stainless Steel,Fold-Over,White,Quartz,30m - 100ft - 3atm,10000.0
