style_id,collection,movement_type,retail_price,color,band_color,case,lug_width,gender
ES5212,CARLIE MINI,3 HAND,125.0,ROSE GOLD,NAVY LEATHER,28MM,12MM,WOMEN
ES5213,CARLIE MINI,3 HAND,125.0,SILVER STAINLESS,CREAM LEATHER,28MM,12MM,WOMEN
ES5214,CARLIE MINI,3 HAND,125.0,SILVER STAINLESS,BROWN LEATHER,28MM,12MM,WOMEN
ES5215,CARLIE MINI,3 HAND,125.0,YELLOW GOLD,BROWN LEATHER,28MM,12MM,WOMEN
ES5208,JACQUELINE,3 HAND DATE,115.0,SILVER STAINLESS,BROWN LEATHER,36MM,16MM,WOMEN
ES5207,JACQUELINE,3 HAND DATE,115.0,ROSE GOLD,BROWN LEATHER,36MM,16MM,WOMEN
ES5216,NEUTRA,CHRONOGRAPH,165.0,YG / SILVER,YG / SILVER,36MM,16MM,WOMEN
ES5217,NEUTRA,CHRONOGRAPH,165.0,SILVER STAINLESS,SILVER STAINLESS,36MM,16MM,WOMEN
ES5218,NEUTRA,CHRONOGRAPH,165.0,ROSE GOLD,ROSE GOLD,36MM,16MM,WOMEN
ES5219,NEUTRA,CHRONOGRAPH,165.0,YELLOW GOLD,YELLOW GOLD,36MM,16MM,WOMEN
ES5220,RAQUEL,3 HAND DATE,145.0,YELLOW GOLD,YELLOW GOLD,23MM,12MM,WOMEN
ES5221,RAQUEL,3 HAND DATE,145.0,SILVER STAINLESS,SILVER STAINLESS,23MM,12MM,WOMEN
ES5222,RAQUEL,3 HAND DATE,145.0,RG / SILVER,RG / SILVER,23MM,12MM,WOMEN
ES5235,RAQUEL,3 HAND DATE,145.0,YELLOW GOLD,BLACK LEATHER,23MM,12MM,WOMEN
ES5234,RAQUEL,3 HAND DATE,145.0,ROSE GOLD,TAUPE LEATHER,23MM,12MM,WOMEN
ES5227,RAQUEL,DUAL TIME,155.0,YELLOW GOLD,BLACK LEATHER,23MM,12MM,WOMEN
ES5228,RAQUEL,DUAL TIME,155.0,ROSE GOLD,BROWN SUGAR LEATHER,23MM,12MM,WOMEN
ES5206,SCARLETTE,3 HAND DAY DATE,135.0,YELLOW GOLD,YELLOW GOLD,32MM,16MM,WOMEN
ME3226,HERITAGE,AUTOMATIC 3 HAND DATE,295.0,YELLOW GOLD,YELLOW GOLD,38MM,20MM,WOMEN
