style_id,retail_price,upc_num,description,collection,case,gender,status,2015,2016,2017,2018,2019,2020,2021,2022-01,2022-02,2022-03,2022-04,qt_sales_order,total_sales_2022,qt_on_hand,monthly_avg_2022
ES5059,139.0,796483530768,FOSSIL / LADIES / FB-01 36MM,FB,36MM,LADIES,2021H1,0.0,0.0,0.0,0.0,0.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ES5060,129.0,796483530782,FOSSIL / LADIES / SCARLETTE MINI 32MM,SCARLETTE,32MM,LADIES,2021H1,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ES5061,119.0,796483530775,FOSSIL / LADIES / SCARLETTE MINI 28MM,SCARLETTE,28MM,LADIES,2021H1,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ES5062,129.0,796483526716,FOSSIL / LADIES / MINI CARLIE 28MM,MINI,28MM,LADIES,2020H1,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ES5063,129.0,796483526723,FOSSIL / LADIES / MINI CARLIE 28MM,MINI,28MM,LADIES,2020H1,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ES5064,109.0,796483527423,FOSSIL / LADIES / CARLIE MINI 28MM,CARLIE,28MM,LADIES,2020H1,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ES5065,129.0,796483527430,FOSSIL / LADIES / JACQUELINE 36MM,JACQUELINE,36MM,LADIES,2020H1,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ES5068,89.0,796483528802,FOSSIL / LADIES / CARLIE MINI 28MM,CARLIE,28MM,LADIES,2021H1,0.0,0.0,0.0,0.0,0.0,0.0,12.0,2.0,0.0,1.0,0.0,0.0,3.0,23.0,0.75
ES5069,129.0,796483530164,FOSSIL / LADIES / GABBY 34MM,GABBY,34MM,LADIES,2021H1,0.0,0.0,0.0,0.0,0.0,0.0,48.0,2.0,0.0,7.0,1.0,1.0,10.0,17.0,2.5
ES5070,129.0,796483530171,FOSSIL / LADIES / GABBY 34MM,GABBY,34MM,LADIES,No status reported,0.0,0.0,0.0,0.0,0.0,0.0,61.0,17.0,7.0,10.0,1.0,1.0,35.0,39.0,8.75
ES5071,129.0,796483530188,FOSSIL / LADIES / GABBY 34MM,GABBY,34MM,LADIES,No status reported,0.0,0.0,0.0,0.0,0.0,0.0,83.0,8.0,0.0,27.0,9.0,4.0,44.0,50.0,11.0
ES5072,130.0,796483530195,FOSSIL / LADIES / GABBY 34MM,GABBY,34MM,LADIES,No status reported,0.0,0.0,0.0,0.0,0.0,0.0,71.0,26.0,10.0,16.0,6.0,1.0,58.0,54.0,14.5
