style_id,monthly_forecast_Q3
ES2811,26.5
ES3204,24.64814814814815
ES3203,28.962962962962962
ES3202,20.962962962962962
ES5107,9.814814814814815
JR1354,9.592592592592593
ES5106,10.018518518518519
ES5108,9.777777777777777
ES3434,9.055555555555555
ES5109,7.9259259259259265
ES3433,10.870370370370372
ES3284,9.814814814814815
FS5836,7.777777777777779
FS5798,4.333333333333333
CH2891,10.870370370370372
CH2565,15.685185185185185
CH2564,11.888888888888891
ES4949,6.537037037037038
FS5877,11.537037037037038
FS5251SET,9.055555555555555
ES5159,9.0
FS5797,3.2407407407407405
ES4318,4.944444444444445
CE1107,5.537037037037037
ES5166,7.0
FS5799,4.203703703703703
ES5158,7.0
FS4795IE,7.0555555555555545
ES4319,11.203703703703704
FS5795,6.9259259259259265
ES4899,4.685185185185185
ES5156,5.0
ES5164,5.0
FS5708SET,4.444444444444444
FS5623,6.166666666666667
FS5822,6.444444444444444
ME3208,1.6666666666666667
ES4317,5.0
FS5862,6.333333333333333
ES3282,9.018518518518519
ME3206,1.6666666666666667
ES5099,7.111111111111111
ES5098,5.092592592592593
FS4487IE,5.5
ES4301,3.5185185185185186
ES5130,7.518518518518519
ES5131,4.351851851851852
FS5525,3.6481481481481484
ES4433,7.7592592592592595
ES4898,3.1296296296296298
ME3190,3.7777777777777772
FS5381,7.518518518518519
CE1113,4.333333333333333
ES3546,5.888888888888888
FS4867IE,5.981481481481481
FS5837,3.981481481481481
FS4835,7.9444444444444455
ES4352,9.296296296296296
ES4744,8.314814814814815
ES4745,8.888888888888888
ES4748,7.611111111111112
ES5167,3.0
ES5157,3.0
ES5138,6.148148148148148
ES4628,5.462962962962963
FS5908,3.0
ES3545,4.5
ES5151,3.0
FS5772,10.944444444444443
FS5796,4.4259259259259265
FS5821,4.87037037037037
ES4432,7.7592592592592595
CE1108,2.259259259259259
FS5823,8.277777777777779
ES5089,3.0
ES4897,3.6296296296296298
FS5830,3.7777777777777772
FS5833,3.5185185185185186
ES4746,8.185185185185185
ES4649,3.4629629629629632
ES4648,3.6111111111111107
FS4931,8.648148148148147
FS5699,2.6481481481481484
