style_id,upc_num,priority,case,availability,qty_on_hand,qty_on_order,qty_total,qty_sales_order,qty_sold_last_6m,qty_avg/mo,months_of_supply,cte_cost,qty_cte_cost,status,2015,2016,2017,2018,2019,2020,2021,2022-01,2022-02,2022-03,2022-04,total_sales_2022,monthly_avg_2022,color,country_of_origin,warranty,band_color,band_material,case_material,clasp_type,dial_color,movement_type,water_resistant,max_cart_qty,case_size,gender,retail_price,collection,wholesale_price
FS5305,796483327979,B,44MM,Available,25.0,0,25.0,0.0,19,3.1666666666666665,7.894736842105264,45.5,0.0,No status reported,0.0,0.0,44.0,127.0,126.0,118.0,49.0,2.0,1.0,3.0,1.0,7.0,1.75,Black,Japan - JP,2 - Year International Limited Warranty,Brown,Leather,Stainless steel,No clasp type reported,Black,Quartz,50m - 160ft - 5atm,10000.0,44.0,Mens,130.0,The minimalist 3h,65.0
FS5308,796483328006,B,44MM,Available,125.0,60,185.0,0.0,107,17.833333333333332,10.373831775700936,52.5,0.0,No status reported,0.0,0.0,42.0,189.0,49.0,79.0,135.0,1.0,15.0,1.0,2.0,19.0,4.75,Black,Japan - JP,2 - Year International Limited Warranty,Black,Stainless steel,Stainless steel,No clasp type reported,Black,Quartz,50m - 160ft - 5atm,10000.0,44.0,Mens,150.0,The minimalist 3h,75.0
FS5380,796483354913,B,44MM,Available,25.0,0,25.0,0.0,31,5.166666666666667,4.838709677419355,56.0,0.0,No status reported,0.0,0.0,33.0,110.0,31.0,66.0,32.0,5.0,10.0,0.0,0.0,15.0,3.75,White,Japan - JP,2 - Year International Limited Warranty,Brown,Leather,Stainless steel,No clasp type reported,White,Quartz,50m - 160ft - 5atm,10000.0,44.0,Mens,160.0,Neutra chrono,80.0
FS5381,796483354920,B,44MM,Available,38.0,20,58.0,0.0,60,10.0,5.8,56.0,0.0,No status reported,0.0,0.0,52.0,260.0,121.0,92.0,59.0,18.0,1.0,9.0,4.0,32.0,8.0,Black,Japan - JP,2 - Year International Limited Warranty,Black,Leather,Stainless steel,No clasp type reported,Black,Quartz,50m - 160ft - 5atm,10000.0,44.0,Mens,160.0,Neutra chrono,80.0
FS5384,796483354951,B,44MM,Available,32.0,0,32.0,0.0,35,5.833333333333333,5.485714285714286,62.99999999999999,0.0,No status reported,0.0,0.0,43.0,159.0,103.0,63.0,72.0,0.0,3.0,4.0,1.0,8.0,2.0,Black,Japan - JP,2 - Year International Limited Warranty,Silver,Stainless steel,Stainless steel,No clasp type reported,Black,Quartz,50m - 160ft - 5atm,10000.0,44.0,Mens,180.0,Neutra chrono,90.0
FS5437,796483381285,B,44MM,Available,74.0,0,74.0,0.0,29,4.833333333333333,15.310344827586208,56.0,0.0,No status reported,0.0,0.0,0.0,89.0,103.0,93.0,80.0,2.0,0.0,1.0,0.0,3.0,0.75,Brown,Japan - JP,2 - Year International Limited Warranty,Brown,Leather,Stainless steel,No clasp type reported,Brown,Quartz,50m - 160ft - 5atm,10000.0,44.0,Mens,160.0,Townsman,80.0
FS5439,796483385337,B,44MM,Available,9.0,0,9.0,0.0,13,2.1666666666666665,4.153846153846154,45.5,0.0,No status reported,0.0,0.0,0.0,25.0,17.0,9.0,14.0,1.0,5.0,1.0,0.0,7.0,1.75,Cream,Japan - JP,2 - Year International Limited Warranty,Brown,Leather,Stainless steel,No clasp type reported,Cream,Quartz,50m - 160ft - 5atm,10000.0,44.0,Mens,130.0,The minimalist,65.0
FS5447,796483381254,B,44MM,Available,28.0,15,43.0,0.0,22,3.6666666666666665,11.727272727272728,45.5,0.0,No status reported,0.0,0.0,0.0,33.0,31.0,24.0,29.0,0.0,1.0,1.0,1.0,3.0,0.75,Black,Japan - JP,2 - Year International Limited Warranty,Black,Leather,Stainless steel,Buckle,Black,Quartz,50m - 160ft - 5atm,10000.0,44.0,Mens,130.0,The minimalist,65.0
FS5452,796483388260,B,44MM,Available,19.0,0,19.0,0.0,23,3.8333333333333335,4.956521739130435,56.0,0.0,No status reported,0.0,0.0,0.0,108.0,129.0,97.0,41.0,2.0,1.0,11.0,0.0,14.0,3.5,Black,Japan - JP,2 - Year International Limited Warranty,Black,Leather,Stainless steel,No clasp type reported,Black,Quartz,50m - 160ft - 5atm,10000.0,44.0,Mens,160.0,Neutra chrono,80.0
FS5453,796483388277,B,44MM,Available,29.0,0,29.0,0.0,40,6.666666666666667,4.35,56.0,0.0,No status reported,0.0,0.0,0.0,101.0,94.0,96.0,46.0,6.0,2.0,13.0,0.0,21.0,5.25,Blue,Japan - JP,2 - Year International Limited Warranty,Brown,Leather,Stainless steel,No clasp type reported,Blue,Quartz,50m - 160ft - 5atm,10000.0,44.0,Mens,160.0,Neutra chrono,80.0
